Variable,Level,Hispanic immigrant non-citizen,Hispanic immigrant naturalized citizen,Non-Hispanic White citizen,P-value
Total (unweighted),,38713,25339,431559,
"Survey year, no. (%)",2011,6385 (16.5),3609 (14.2),51429 (11.9),<0.001
,2012,6345 (16.4),3648 (14.4),56370 (13.1),
,2013,6046 (15.6),3736 (14.7),54486 (12.6),
,2014,6219 (16.1),3739 (14.8),60401 (14.0),
,2015,5525 (14.3),3726 (14.7),55588 (12.9),
,2016,3190 (8.2),2542 (10.0),60895 (14.1),
,2017,2572 (6.6),2126 (8.4),48394 (11.2),
,2018,2431 (6.3),2213 (8.7),43996 (10.2),
"U.S. region, no. (%)",Northeast,4234 (10.9),5282 (20.8),77326 (17.9),<0.001
,Midwest,3502 (9.0),1865 (7.4),117319 (27.2),
,South,14576 (37.7),9443 (37.3),140151 (32.5),
,West,16401 (42.4),8749 (34.5),96763 (22.4),
"Sex, no. (%)",Male,19454 (50.3),11374 (44.9),211275 (49.0),<0.001
,Female,19259 (49.7),13965 (55.1),220284 (51.0),
"Age, mean (SD)",,38.00 (14.72),48.93 (17.23),41.10 (23.40),<0.001
"Marital status, no. (%)",Separated,1867 (5.0),1089 (4.4),4971 (1.4),<0.001
,Divorced,1859 (5.0),2772 (11.2),40930 (11.3),
,Married,21621 (58.1),14982 (60.5),197838 (54.8),
,Single/never married,10888 (29.3),4305 (17.4),92768 (25.7),
,Widowed,840 (2.3),1550 (6.3),23434 (6.5),
,Unknown,113 (0.3),75 (0.3),929 (0.3),
"Self-reported health, no. (%)",Not excellent or very good health,18089 (46.7),12431 (49.1),139575 (32.3),<0.001
,Excellent or very good health,20624 (53.3),12908 (50.9),291984 (67.7),
"Delayed care in past yr, no. (%)",No,34245 (88.5),23237 (91.7),399243 (92.5),<0.001
,Yes,4468 (11.5),2102 (8.3),32316 (7.5),
"Missed necessary care due to cost in past yr, no. (%)",No,34980 (90.4),23691 (93.5),409845 (95.0),<0.001
,Yes,3733 (9.6),1648 (6.5),21714 (5.0),
